building_id,year,renovation_probability
309,2030,0.2
358,2030,0.1
455,2030,0.1
463,2030,0.4
593,2030,0.3
863,2030,0.2
221,2030,0.1
251,2030,0.2
484,2030,0.2
561,2030,0.4
567,2030,0.2
1427,2030,0.2
224,2030,0.1
409,2030,0.1
442,2030,0.1
485,2030,0.2
516,2030,0.2
645,2030,0.2
1124,2030,0.2
1152,2030,0.1
1554,2030,0.1
97,2030,0.1
274,2030,0.1
509,2030,0.1
613,2030,0.3
803,2030,0.5
1115,2030,0.1
52,2030,0.1
486,2030,0.3
298,2030,0.4
345,2030,0.2
519,2030,0.2
1205,2031,0.3
76,2031,0.4
213,2031,0.5
218,2031,0.2
309,2031,0.2
358,2031,0.1
455,2031,0.1
463,2031,0.4
593,2031,0.3
863,2031,0.2
221,2031,0.1
251,2031,0.2
484,2031,0.2
561,2031,0.4
567,2031,0.2
1427,2031,0.2
224,2031,0.1
409,2031,0.1
442,2031,0.2
485,2031,0.2
516,2031,0.2
645,2031,0.2
1124,2031,0.2
1152,2031,0.1
1554,2031,0.1
97,2031,0.2
274,2031,0.1
509,2031,0.1
613,2031,0.4
803,2031,0.5
1115,2031,0.2
52,2031,0.1
486,2031,0.3
298,2031,0.4
345,2031,0.2
519,2031,0.2
1478,2031,0.2
191,2031,0.1
1205,2032,0.3
76,2032,0.4
213,2032,0.5
218,2032,0.2
309,2032,0.2
358,2032,0.1
455,2032,0.1
463,2032,0.4
593,2032,0.3
863,2032,0.2
221,2032,0.2
251,2032,0.3
484,2032,0.2
561,2032,0.4
567,2032,0.2
1427,2032,0.2
224,2032,0.1
409,2032,0.1
442,2032,0.2
485,2032,0.2
516,2032,0.2
645,2032,0.2
1124,2032,0.3
1152,2032,0.1
1554,2032,0.1
97,2032,0.2
274,2032,0.1
509,2032,0.1
613,2032,0.5
803,2032,0.5
1115,2032,0.2
52,2032,0.1
486,2032,0.3
298,2032,0.4
345,2032,0.2
519,2032,0.2
1478,2032,0.2
191,2032,0.1
42,2032,0.1
188,2032,0.3
214,2032,0.3
217,2032,0.4
1205,2033,0.3
76,2033,0.5
213,2033,0.5
218,2033,0.2
309,2033,0.2
358,2033,0.1
455,2033,0.1
463,2033,0.4
593,2033,0.3
863,2033,0.2
221,2033,0.3
251,2033,0.3
484,2033,0.2
561,2033,0.4
567,2033,0.2
1427,2033,0.2
224,2033,0.1
409,2033,0.1
442,2033,0.2
485,2033,0.2
516,2033,0.2
645,2033,0.2
1124,2033,0.4
1152,2033,0.1
1554,2033,0.1
97,2033,0.2
274,2033,0.1
509,2033,0.1
613,2033,0.5
803,2033,0.5
1115,2033,0.3
52,2033,0.1
486,2033,0.3
298,2033,0.4
345,2033,0.3
519,2033,0.2
1478,2033,0.2
191,2033,0.1
42,2033,0.1
188,2033,0.4
214,2033,0.3
217,2033,0.4
854,2033,0.1
1289,2033,0.1
297,2033,0.4
489,2033,0.4
588,2033,0.4
631,2033,0.1
1205,2034,0.3
76,2034,0.5
213,2034,0.5
218,2034,0.2
309,2034,0.2
358,2034,0.1
455,2034,0.1
463,2034,0.4
593,2034,0.3
863,2034,0.3
221,2034,0.3
251,2034,0.3
484,2034,0.2
561,2034,0.4
567,2034,0.2
1427,2034,0.2
224,2034,0.1
409,2034,0.1
442,2034,0.3
485,2034,0.2
516,2034,0.2
645,2034,0.2
1124,2034,0.4
1152,2034,0.1
1554,2034,0.1
97,2034,0.2
274,2034,0.1
509,2034,0.2
613,2034,0.5
803,2034,0.5
1115,2034,0.3
52,2034,0.1
486,2034,0.3
298,2034,0.4
345,2034,0.3
519,2034,0.2
1478,2034,0.2
191,2034,0.1
42,2034,0.2
188,2034,0.4
214,2034,0.3
217,2034,0.5
854,2034,0.1
1289,2034,0.1
297,2034,0.4
489,2034,0.5
588,2034,0.4
631,2034,0.1
67,2034,0.1
630,2034,0.2
637,2034,0.1
1205,2035,0.3
76,2035,0.5
213,2035,0.5
218,2035,0.2
309,2035,0.2
358,2035,0.1
455,2035,0.1
463,2035,0.4
593,2035,0.3
863,2035,0.3
221,2035,0.3
251,2035,0.3
484,2035,0.2
561,2035,0.4
567,2035,0.2
1427,2035,0.2
224,2035,0.1
409,2035,0.1
442,2035,0.3
485,2035,0.3
516,2035,0.2
645,2035,0.2
1124,2035,0.4
1152,2035,0.2
1554,2035,0.1
97,2035,0.2
274,2035,0.2
509,2035,0.2
613,2035,0.5
803,2035,0.5
1115,2035,0.3
52,2035,0.1
486,2035,0.4
298,2035,0.4
345,2035,0.3
519,2035,0.2
1478,2035,0.2
191,2035,0.1
42,2035,0.2
188,2035,0.4
214,2035,0.3
217,2035,0.5
854,2035,0.1
1289,2035,0.1
297,2035,0.5
489,2035,0.5
588,2035,0.4
631,2035,0.1
67,2035,0.1
630,2035,0.2
637,2035,0.1
748,2035,0.4
896,2035,0.4
1136,2035,0.1
1290,2035,0.1
1589,2035,0.1
152,2035,0.4
184,2035,0.1
495,2035,0.2
228,2025,0.1
258,2025,0.1
356,2025,0.1
386,2025,0.1
471,2025,0.2
640,2025,0.1
650,2025,0.1
228,2026,0.1
258,2026,0.1
356,2026,0.2
386,2026,0.1
471,2026,0.3
640,2026,0.1
650,2026,0.1
692,2026,0.2
814,2026,0.1
1128,2026,0.1
38,2026,0.1
58,2026,0.1
253,2026,0.1
292,2026,0.1
367,2026,0.1
552,2026,0.2
559,2026,0.1
645,2026,0.1
648,2026,0.1
228,2027,0.1
258,2027,0.1
356,2027,0.2
386,2027,0.1
471,2027,0.3
640,2027,0.1
650,2027,0.1
692,2027,0.3
814,2027,0.1
1128,2027,0.1
38,2027,0.1
58,2027,0.1
253,2027,0.1
292,2027,0.1
367,2027,0.1
552,2027,0.2
559,2027,0.1
648,2027,0.1
701,2027,0.1
748,2027,0.1
770,2027,0.1
142,2027,0.1
179,2027,0.1
204,2027,0.1
264,2027,0.1
436,2027,0.1
475,2027,0.1
496,2027,0.2
228,2028,0.1
258,2028,0.1
356,2028,0.2
386,2028,0.1
471,2028,0.3
640,2028,0.1
650,2028,0.3
692,2028,0.4
814,2028,0.1
1128,2028,0.1
38,2028,0.1
58,2028,0.1
253,2028,0.1
292,2028,0.1
367,2028,0.1
552,2028,0.2
559,2028,0.1
648,2028,0.1
701,2028,0.1
748,2028,0.1
770,2028,0.1
142,2028,0.2
179,2028,0.1
204,2028,0.1
264,2028,0.1
436,2028,0.1
475,2028,0.1
496,2028,0.3
668,2028,0.1
799,2028,0.1
800,2028,0.2
1154,2028,0.1
1522,2028,0.1
270,2028,0.1
276,2028,0.1
286,2028,0.5
288,2028,0.2
291,2028,0.1
228,2029,0.1
258,2029,0.1
356,2029,0.2
386,2029,0.1
471,2029,0.3
640,2029,0.1
650,2029,0.3
692,2029,0.4
814,2029,0.1
1128,2029,0.1
38,2029,0.1
58,2029,0.1
253,2029,0.1
292,2029,0.2
367,2029,0.1
552,2029,0.4
559,2029,0.1
648,2029,0.1
701,2029,0.1
748,2029,0.1
770,2029,0.1
142,2029,0.2
179,2029,0.1
204,2029,0.1
264,2029,0.2
436,2029,0.1
475,2029,0.1
496,2029,0.3
668,2029,0.1
799,2029,0.1
800,2029,0.2
1154,2029,0.1
1522,2029,0.1
270,2029,0.1
276,2029,0.1
286,2029,0.5
288,2029,0.2
291,2029,0.1
1580,2029,0.2
48,2029,0.2
188,2029,0.1
212,2029,0.3
387,2029,0.2
497,2029,0.1
228,2030,0.1
258,2030,0.2
356,2030,0.2
386,2030,0.1
471,2030,0.3
640,2030,0.1
650,2030,0.3
692,2030,0.4
814,2030,0.1
1128,2030,0.1
38,2030,0.1
58,2030,0.1
253,2030,0.1
292,2030,0.2
367,2030,0.2
552,2030,0.4
559,2030,0.1
648,2030,0.2
701,2030,0.1
748,2030,0.1
770,2030,0.1
142,2030,0.2
179,2030,0.1
204,2030,0.1
264,2030,0.2
436,2030,0.1
475,2030,0.2
496,2030,0.3
668,2030,0.1
799,2030,0.1
800,2030,0.2
1154,2030,0.1
1522,2030,0.2
270,2030,0.2
276,2030,0.1
286,2030,0.5
288,2030,0.2
291,2030,0.1
1580,2030,0.2
48,2030,0.2
188,2030,0.2
212,2030,0.3
387,2030,0.2
497,2030,0.1
2084,2030,0.2
72,2030,0.2
173,2030,0.5
255,2030,0.2
263,2030,0.2
422,2030,0.2
228,2031,0.2
258,2031,0.2
356,2031,0.2
386,2031,0.1
471,2031,0.3
640,2031,0.1
650,2031,0.3
692,2031,0.4
814,2031,0.1
1128,2031,0.2
38,2031,0.3
58,2031,0.2
253,2031,0.1
292,2031,0.2
367,2031,0.2
552,2031,0.4
559,2031,0.1
648,2031,0.2
701,2031,0.1
748,2031,0.2
770,2031,0.1
142,2031,0.2
179,2031,0.1
204,2031,0.1
264,2031,0.2
436,2031,0.1
475,2031,0.2
496,2031,0.3
668,2031,0.1
799,2031,0.1
800,2031,0.2
1154,2031,0.1
1522,2031,0.2
270,2031,0.2
276,2031,0.1
286,2031,0.5
288,2031,0.2
291,2031,0.1
1580,2031,0.2
48,2031,0.2
188,2031,0.2
212,2031,0.3
387,2031,0.2
497,2031,0.1
2084,2031,0.2
72,2031,0.2
173,2031,0.5
255,2031,0.2
263,2031,0.2
422,2031,0.3
749,2031,0.1
152,2031,0.2
277,2031,0.3
